Names,Prices,Neighbourhoods,Number_of_reviews,Ratings,Type_of_pubs
Kilkenny,€€,Mitte,89,4,Irish Pubs
Puschels Pub,€,Tiergarten,7,4.5,Pubs
Gaffel Haus Berlin,€€,Mitte,74,4,RhinelandianPubs
The Pub,€€,Mitte,80,4,PubsBurgers
the CASTLE,€€,Mitte,16,4,Beer BarsCoffee & Tea Shops
The Brit-Pub,€€,Reinickendorf,2,5,Irish Pubs
Hops & Barley Hausbrauerei,€,Friedrichshain,144,4.5,BreweriesSports Bars
Cliffs of Dooneen,€€,Prenzlauer,14,4.5,PubsIrish PubsSports Bars
Verkehrsberuhigte Ostzone,€,Mitte,15,4.5,Dive Bars
Stone Brewing,,,10,4.5,BrewpubsPrenzlauer Berg
Aufsturz,€€,Mitte,124,4,Dive BarsMusic Venues
Taproom Berlin,€€,Mitte,6,4,Beer Bars
Irish Pubs Gaststätten,,,,,PubsReinickendorf
Kuckucksei,€,Schöneberg,13,5,CafesPubs
Irish Times,€€,Mitte,19,3.5,Irish Pubs
Salt n Bone,€€,Prenzlauer,42,4.5,Gastro PubsCocktail Bars
Murphys Irish Pub,€€,Mitte,24,3.5,Irish PubsIrish
Die Berliner Republik,€€,Mitte,156,3.5,BarsGerman
King’s Pub,€€,Charlottenburg,5,4,Pubs
Scandals,€€,Prenzlauer,4,5,Pubs
Bar Franken,€,Kreuzberg,39,4,Bars
Gaststätte Zur Kneipe,€,Wilmersdorf,14,4,Pubs
Dicke Wirtin,€€,Charlottenburg,156,4,Dive BarsEastern German
Bebel Bar & Lounge,€€€€,Mitte,17,4,Cocktail BarsChampagne BarsPubs
Irish Harp Pub,€€,Charlottenburg,67,4,GermanIrish Pubs
Goldesel,€€,Charlottenburg,31,4.5,PubsDive BarsWine Bars
Tipperary Berlin,€€,Wedding,13,3.5,Irish PubsIrish
Lindenbräu am Potsdamer Platz,€€,Tiergarten,159,3.5,Dive BarsGermanPubs
Loch Ness,€€,Steglitz,28,4.5,PubsWhiskey Bars
Blarney Irish Pub,€€,Kreuzberg,15,4,Irish PubsOff Licence
Kaschk,€,Mitte,48,4,BarsCafes
Wolf’s Inn,€€,Wilmersdorf,9,5,PubsDive Bars
Bar Carlitos,€,Charlottenburg,30,4.5,PubsCocktail Bars
Silberfisch,€€,Mitte,9,4,Pubs
Sponholz Bar Pub,€€,Schöneberg,7,5,Dive BarsBeer Gardens
Ufer Café,€,Wedding,12,5,Pubs
Zwiebelfisch Gaststätten,€€,Charlottenburg,53,4,Dive Bars
Hardy’s Pub,,,1,5,Dive BarsSchöneberg
The LIR,€€,Tiergarten,42,4,Irish Pubs
Stresemann Stübchen,€,Kreuzberg,5,4.5,PubsSports Bars
Zosch,€€,Mitte,37,4,GermanMusic VenuesDive Bars
Marktschenke,€€,Mitte,3,5,Pubs
Brauereigaststätte Leibhaftig,€€,Prenzlauer,88,4.5,BreweriesGastro Pubs
Pub No,,,2,3.5,Pubs
Finnegan’s Irish Pub,€€,Steglitz,35,4,Irish PubsInternational
Tiergartenquelle,€€,Tiergarten,142,4,GermanDive BarsBeer Gardens
Die Apotheken Bar,€€€€,Kreuzberg,3,5,LoungesPubs
Belushi’s,€€,Mitte,45,3.5,PubsBurgersSports Bars
Soulcat,€€,Reuterkiez,4,4.5,Jazz & BluesPubs
Das Gift,€€,Neukölln,16,4.5,Pubs
poropati,€,Neukölln,4,5,Dive BarsPubs
Destille,€€,Bergmannkiez,45,4.5,Dive Bars
Berlin Icebar,,,2,5,PubsMitte
Schwarze Pumpe,€,Mitte,57,4,Dive BarsGerman
Hausbrauerei Eschenbräu,€,Wedding,105,4.5,Beer GardensBrewpubsDistilleries
Marcus Bräu,€€,Mitte,16,3.5,Dive BarsGerman
Irish Pub,€€,Wilmersdorf,68,3,Irish Pubs
Cessna 36,€€,Kreuzberg,4,5,Pubs
Spener Stuben,€,Tiergarten,8,4.5,Pubs
Pavement,€€,Wilmersdorf,5,4,Pubs
Sorsi e Morsi,€€,Prenzlauer,67,4.5,Wine BarsItalian
Partyhaus vom Nikolaus,€€€,Mitte,5,4.5,Pubs
Lolly-Pub,€€,Friedrichshain,8,5,PubsSports BarsDive Bars
Die Wampe,,,3,4.5,PubsGermanSpandau
Birgit’s Pub,€,Charlottenburg,9,4,Pubs
Froschkönig,€€,Schillerkiez,21,4.5,PubsCafesPiano Bars
K6,€,Schöneberg,3,4.5,Dive BarsPubs
Turandot,€€,Bergmannkiez,19,4,Dive BarsPubs
Xantener Eck,€€,Wilmersdorf,31,3.5,PubsGermanBreakfast & Brunch
Alt Berliner Biersalon,€€,Charlottenburg,77,3,GermanBreakfast & BrunchBeer Bars
Shamrock Pub,€€,Zehlendorf,5,4,Irish Pubs
Brauhaus Georgbräu,€€,Mitte,94,3,GermanBreweries
W,€,Prenzlauer,35,4.5,Dive Bars
Lokal ehem,€€,Prenzlauer,4,5,Pubs
Celtic Cottage,€€,Steglitz,68,4,Irish Pubs
Hacky’s Pub,€€€€,Steglitz,2,4,Dive Bars
Dolden Mädel,€€,Kreuzberg,50,4.5,BreweriesGerman
Drittes Ohr,€,Friedrichshain,5,4,Pubs
Lützow-Stübchen,,,,,PubsTiergarten
Repeat,€€,Kreuzberg,2,5,Cocktail BarsPubsClubs
Eselsbrücke,€€,Prenzlauer,13,4,Pubs
Bar Papillon,€€,Charlottenburg,2,5,Pubs
Kneipe Willy Bresch,€,Prenzlauer,24,4.5,GermanDive Bars
Ronja’s Räuberhöhle,€,Reinickendorf,2,4,Pubs
Cathrin’s Café,€,Mitte,1,5,Pubs
Willi Mangler,€,Schöneberg,10,4.5,Pubs
Altdeutsches Wirtshaus Budike,€€,Friedrichshain,21,4,GermanGastro Pubs
Green Door,€€€,Schöneberg,136,4,Cocktail Bars
Thomas-Eck,€,Charlottenburg,63,4,GermanPubsBreakfast & Brunch
Sophieneck,€€,Mitte,47,3,Dive BarsGerman
Maclaren’s Pub,€€,Friedrichshain,49,3,PubsBurgers
The Happy Pig,€€,Friedrichshain,14,3.5,Irish Pubs
Degendorff,€€,Friedrichshain,7,4.5,PubsSports BarsBeer Gardens
Fussballtreff,€€,Tiergarten,4,5,Pubs
Zur Linde,€€,Charlottenburg,11,4.5,Dive Bars
Zeppelin,,,2,5,PubsSports Bars
Bierhaus Sunrise,€€,Neukölln,1,5,Pubs
Bier-Treff,,,2,4,PubsWedding
Henne,€€,Kreuzberg,116,3.5,GermanDive Bars
Victoria - Celtic Pub in Spandau,€€€,Spandau,2,5,Irish Pubs
Brutz & Brakel,€€,Friedrichshain,7,4.5,Pubs
Home World Beer Bar,€€€,Friedrichshain,2,4,Pubs
Runde Ecke,€,Britz,2,4,Pubs
Schwanenlounge,,,4,4.5,Pubs
Café Belmont,€,Schöneberg,8,4.5,PubsCafes
Zum Auerhahn,€,Wilmersdorf,8,4,Pubs
Friedenauer Pub,,,1,4,PubsSchöneberg
Schnick Schnack,€,Prenzlauer,3,4.5,Pubs
Salamas Bar,€,Friedrichshain,6,4.5,Sports Bars
Zum Anker,€,Charlottenburg,5,4.5,Pubs
Ankerklause,€€,Reuterkiez,111,4,Breakfast & BrunchBarsCafes
Pub à la Pub,€,,18,4,Dive Bars
Zum Stammtisch,€,Tiergarten,11,4.5,Pubs
Metzer Eck,€,Prenzlauer,39,3.5,Dive BarsGerman
Varadero,€,Schöneberg,48,4,CubanCocktail Bars
Monterey Bar,€€,Prenzlauer,11,4.5,Bars
Rockcafé Halford,€€,Friedrichshain,3,4.5,Pubs
Bierbrunnen an der Plumpe,€€,Wedding,8,4,GermanDive Bars
Nostalgie,,,1,5,PubsRestaurantsReinickendorf
Your Pub - Café - Bar - Lounge,,,,,Sports BarsSpandau
Zur Glühlampe,€,Friedrichshain,15,3.5,Pubs
Bäreneck,€,Neukölln,7,4.5,PubsSports Bars
Bettenhaus,€,Friedrichshain,14,4.5,Pubs
Berliner Bürgerstuben,€,Prenzlauer,1,2,GermanPubs
Bülow-Kneipe,€€,Schöneberg,5,4,Pubs
Country Pub,,,,,PubsMarzahn
General Post Office,€€,Steglitz,25,4,Irish PubsSports Bars
Malustra,€,Schöneberg,6,4.5,PubsPool & Snooker Hall
Vogt’s Bier-Express,€€,Kreuzberg,15,4.5,Sports BarsBeer Bars
Bergschloss,€,Neukölln,2,5,BreweriesPubs
Kupferkanne,€€,Schöneberg,5,4.5,Pubs
Hirsch & Hase,,,5,5,ScottishBeer GardensTapas & Small PlatesWedding
Schultheiss-Kneipe,,,1,4,PubsPrenzlauer Berg
Stromeck,€,Tiergarten,,,Dive BarsPubs
Kastanienwäldchen,€€,Reinickendorf,9,2.5,PubsMusic Venues
Coconut,,,1,5,PubsLichtenberg
Jägerklause | Prost Mahlzeit!,€€,Friedrichshain,33,4,PubsBeer GardensDive Bars
Blackland,€,Prenzlauer,9,4,Pubs
Sterntaler,€€,Steglitz,4,4,Pubs
Klo,€€,Charlottenburg,62,3,Pubs
Wilhelm Hoeck 1892,€,Charlottenburg,31,3.5,Pubs
Wowsville,€€,Kreuzberg,4,5,Pubs
Heidenpeters,€€,Kreuzberg,25,4.5,Breweries
Gaststätte Zum Nußbaum,€€,Mitte,32,3.5,GermanBars
Pilsstübchen,,,1,3,PubsCharlottenburg
Vagabund Brauerei,€€,Wedding,31,4.5,BreweriesBeer Bars
Mittenmang,€,Wilmersdorf,1,4,Dive Bars
Alte Wäscherei,€€€€,Prenzlauer,1,5,Pubs
Kneipen Kult,€,Wedding,1,5,Pubs
Gaststätte,,,,,PubsCharlottenburg
Gaststätte Meyerheim,,,1,5,PubsPrenzlauer Berg
Cafe Bar Birdcage,,,1,3,PubsMitte
Lipopette,€,Neukölln,11,4.5,PubsFrench
Lokal Pannwitz,,,,,PubsBistrosReinickendorf
Abgedreht,€€,Friedrichshain,37,4,Dive Bars
Gaststätte Spree-Eck,€,Charlottenburg,2,4,Dive Bars
BrewDog,€€,Mitte,31,4,Beer Bars
Steinhaus,,,,,PubsLichtenberg
Zur Kneipe,,,,,PubsNeukölln
Pub At The Shoot Out Eye,,,,,PubsMitte
Kneipe Bienenkorb,€€,Neukölln,5,4,PubsSports Bars
Lemmys Keller Bar,,,1,4,PubsTempelhof
Paules Metal Eck,€€,Friedrichshain,55,3.5,Dive Bars
Taqueria Florian,€€,Kreuzberg,8,4,BarsCafes
Hansa Stuben,€,Reinickendorf,6,5,PubsDive Bars
Robby’s Pub,,,1,5,Sports BarsIrish PubsZehlendorf
Sabrina,€,Zehlendorf,5,3,Pubs
Zum Schloßpark,€,,1,5,Pubs
Maxi 1,€,Pankow,16,3.5,PubsGerman
Billard-Pub,,,,,PubsAmateur Sports TeamsSpandau
Märkische Bierstuben Monika Kirchner,,,,,PubsGermanReinickendorf
Astra Stube,€,Neukölln,4,4,Pubs
Blue Café,€,Wilmersdorf,3,4,Pubs
Rothaus,€€,Mitte,5,3,PubsGerman
Bei Schlawinchen,€,Kreuzberg,32,4,Dive Bars
Johannisthaler Stüb’l,€,Treptow,1,3,Pubs
Flumis Pub ala Pub das alte The Shannon,,,1,1,Irish PubsSchöneberg
Kings-Pub,€€,Spandau,1,3,Dive BarsIrish Pubs
Mondial Terrassen,€€,Mitte,102,2,InternationalBreakfast & BrunchCocktail Bars
Roofgarden,,,,,PubsHohenschönhausen
Yolanda,€,Prenzlauer,3,3.5,Pubs
Gaststätte Heiners Tropical Inn,€,Schöneberg,4,4,Pubs
Gaststätte Weberwiese,€,Friedrichshain,3,4,Pubs
Aky,,,1,5,PubsStreet FoodReuterkiez
Heidelberger Krug,€€,Bergmannkiez,5,3,Pubs
The Paris Premium,,,2,4,PubsShisha BarsWilmersdorf
Kilkenny,€€,,3,3.5,Pubs
Inselnest,€,Schöneberg,6,4,Pubs
Westend-Klause,€€,Charlottenburg,5,3.5,PubsRestaurants
Prinzknecht,€€,Schöneberg,34,3,Gay Bars
Juleps New York Bar & Restaurant,€€€,Charlottenburg,91,3.5,American (Traditional)Cocktail BarsSports Bars
Mommseneck,€€,Tiergarten,65,2.5,GermanPubs
Große Freiheit 114,€€,Friedrichshain,6,2.5,Gay BarsPubs
Cafe Miami,€,Neukölln,2,5,Pubs
Bauernstube,€,Neukölln,1,5,Pubs
Westend Pinte,,,1,5,PubsCharlottenburg
Fuchsbau,€€,Kreuzberg,53,3.5,Beer BarsCocktail Bars
Blech Bilder Bar,€€,Friedrichshain,45,3.5,Dive BarsGerman
Plan B,€€,Spandau,5,4.5,PubsCafesCoffee & Tea Shops
Löwe Rein,€€,Neukölln,6,3.5,Pubs
Simone’s Bier- und Speisegaststätte,€,Reuterkiez,1,5,Pubs
Gaststätte Heinzelmännchen,€,Lichtenberg,1,5,Pubs
B3 - Bierhaus 3,€,Charlottenburg,3,4.5,PubsDive Bars
Kathy’s Bar & Café,,,,,PubsReinickendorf
Sameheads,€€,Neukölln,15,3.5,Music Venues
Klein Zaches,€€,Wedding,5,3.5,Dive BarsPubs
Daniel’s,€€,Zehlendorf,3,3.5,PubsCoffee & Tea Shops
Pichelsberger Krug,,,,,ItalianPubsCharlottenburg
Sky Shishabar,,,,,PubsReinickendorf
Druide,€€,Prenzlauer,36,3.5,Bars
Zur Grünen Fliese,€,Tiergarten,1,4,Pubs
Zum Absacker,,,,,PubsLichtenberg
Radke’s Gasthaus Alt-Berlin,€€,Wilmersdorf,19,2,GermanPubs
Barlou,€,Friedrichshain,18,3,PubsCocktail Bars
Zum Umsteiger,€€,Neukölln,7,4,Pubs
Bierhof Rüdersdorf - Temp,€€,Friedrichshain,24,4,PubsBeer Gardens
Queens Pub,€€,Schöneberg,7,2.5,PubsDive Bars
Wikinger Eck,,,5,4,PubsTiergarten
Altstadtkeller,€,,1,5,Pubs
Zur Insel,,,,,PubsTempelhof
Chez Icke,,,1,5,PubsKreuzberg
Bar Walther,€€,Kreuzberg,11,3.5,Bars
Gelbes Schloss,€,Wedding,4,4.5,PubsFoodSocial Clubs
Bose Eck,,,2,4,PubsTempelhof
Yuppis Kneipe,,,,,PubsTreptow
Café Dachkammer,€€,Friedrichshain,93,3.5,PubsCafes
Gleis 6,€€,,25,4,Pubs
Zum Gemütlichen Laternchen,,,2,3,PubsTiergarten
Südblock,€,Kreuzberg,39,3.5,Beer GardensPubsBreakfast & Brunch
Oranienburger Hafenbar,,,1,4,Pubs
bauer&ewald,,,,,PubsReuterkiez
Wernesgrüner B,€€,Lichtenberg,46,4,PubsGerman
Die Wasserpfeife,€,Wilmersdorf,4,3,Pubs
Epis Bar,,,,,PubsMarzahn
Freibeuter,€,Friedrichshain,4,4,Pubs
Berlinchen-City,€€,Schöneberg,1,4,Dive Bars
Backbord,€€,Kreuzberg,6,3,Dive BarsSports Bars
Zeitsprung,,,1,5,PubsTempelhof
Bei Joschi,€,Schöneberg,6,4,PubsSports Bars
Holland Mühle,,,2,3.5,PubsSteglitz
