Names,Prices,Neighbourhoods,Number_of_reviews,Ratings,Type_of_resturant
Stadtklause,€,Kreuzberg,171,4.5,German
Schnitzelei Mitte,€€€,Mitte,51,4.5,Schnitzel
Momotaro Tavern,€€,Mitte,60,4.5,BurgersAsian Fusion
Aigner Gendarmenmarkt,€€€,Mitte,120,4,GermanAustrian
Ngon Restaurant Berlin,,,20,4.5,VietnamesePan AsianMitte
Gaffel Haus Berlin,€€,Mitte,74,4,RhinelandianPubs
JOSEPH,,,5,4,IsraeliMitte
Cocolo Ramen,€€,Mitte,292,4,Ramen
Schlögl’s,€€,Mitte,79,4,GermanBeer Gardens
Takumi‘9 Sapporo,€€,Mitte,38,4.5,Ramen
Scheers Schnitzel,€,Friedrichshain,163,4.5,Schnitzel
The Bird,€€,Prenzlauer,665,4,BurgersSteakhouses
Volver,€€,Mitte,62,4.5,Tapas & Small Plates
Gogogi,€€,Mitte,34,4,Korean
Restaurant Nolle,€€,Mitte,75,4,German
Ständige Vertretung,€€,Mitte,183,4,German
Prater Garten,€€,Prenzlauer,280,4,GermanBeer Gardens
Night Kitchen,€€,Mitte,19,4,MediterraneanGastro Pubs
Weihenstephaner,€€,Mitte,79,4,German
Taverna Ousia,€€,Schöneberg,180,4.5,Greek
momos,€,Mitte,13,4,VegetarianVegan
Southern Vittles,,,10,4.5,American (Traditional)Prenzlauer Berg
La Casserole,€€€,Steglitz,20,4.5,French
Mustafas Gemüse Kebap,€,Kreuzberg,1067,4,Food StandsKebab
House of Small Wonder,€€,Mitte,170,4,Breakfast & BrunchCocktail BarsJapanese
Boulevard Friedrichstrasse,€€,Mitte,62,4,GermanSteakhouses
Steakhouse Asador,€€,Kreuzberg,231,4.5,Steakhouses
Monsieur Vuong,€€,Mitte,627,4,Vietnamese
The Tree,€€,Mitte,18,4.5,Chinese
Ristorante a Mano,€€,Mitte,65,4.5,Italian
Rotisserie Weingrün,€€€,Mitte,109,4.5,BBQ & BarbecueGerman
Rüyam Gemüse Kebab 2,€,Prenzlauer,25,5,KebabFalafel
FACTORY GIRL,€€,Mitte,263,4,Breakfast & BrunchCafesDesserts
Rodolfo’s Tapas Bar,€€,Prenzlauer,20,4.5,SpanishTapas BarsLatin American
Yam Yam,€€,Mitte,267,4,Korean
LIU 成都味道 Nudelhaus,,,12,4.5,ChineseSoupMitte
AmmAmma,€,Kreuzberg,139,4.5,Indian
Zur kleinen Markthalle,€€,Kreuzberg,74,4.5,German
Café Bondi,€€,Mitte,110,4.5,Breakfast & BrunchCafes
Ali Baba,€,Friedrichshain,114,4.5,Lebanese
Burgermeister,€,Kreuzberg,711,4,Takeaway & Fast FoodBurgers
Oishii Hot Dog,€,Prenzlauer,42,4,Hot DogsTakeaway & Fast Food
Louis Alfons,€€,Wedding,14,4.5,BurgersSteakhouses
Pascarella,€€,Mitte,6,4.5,PizzaItalian
Habel am Reichs­tag,€€,Mitte,4,4,GermanWine BarsVenues & Event Spaces
Pan Africa Restaurant,€€,Neukölln,16,4.5,African
Boccondivino,€€,Mitte,64,4,Italian
Feel Seoul Good,,,15,4.5,KoreanPrenzlauer Berg
Käfer,€€€,Tiergarten,112,4,GermanBreakfast & Brunch
Pantry,€€€,Mitte,72,4,Modern European
Muckrakers Pizza,€,Mitte,15,4.5,Pizza
CORDO,,,5,5,Northern GermanWine BarsMitte
LA BUVETTE Steakhouse,€€€,Mitte,87,4.5,FrenchBrasserie
Shalimar,€€,Wedding,68,4.5,Pakistani
acht&dreissig,€€,Mitte,24,4.5,German
Fes - Turkish BBQ,€€,Kreuzberg,68,4.5,TurkishBBQ & Barbecue
MAISON UMAMI,,,11,5,Pan AsianKreuzberg
Papà Pane di Sorrento,€€,Mitte,237,4,Italian
Txokoa,€€€,Reuterkiez,35,4.5,BasqueTapas Bars
Café Krone,€€,Prenzlauer,100,4.5,CafesBreakfast & BrunchSandwiches
Brauereigaststätte Leibhaftig,€€,Prenzlauer,88,4.5,BreweriesGastro Pubs
Shiso Burger,€€,Mitte,299,4,Burgers
Mozzarella & Pomodoro,€,Mitte,15,5,ItalianPizza
Pinoy,€€,Charlottenburg,26,4,Filipino
PeterPaul,,,16,4.5,GermanMitte
Lokal,€€€,Mitte,79,4,German
Oderquelle,€€,Prenzlauer,68,4.5,German
Brasserie am Gendarmenmarkt,€€€,Mitte,69,4,Brasserie
PHO - Noodlebar,€€,Mitte,50,4,VietnameseSoup
DUDU,€€,Mitte,267,4,SushiVietnamesePan Asian
Marjellchen,€€,Charlottenburg,88,4.5,Eastern German
Maria Bonita,€€,Prenzlauer,187,4,Mexican
Sisaket,€€,Mitte,23,4.5,Thai
Amano Bistro,,,1,4,FrenchMediterraneanTiergarten
MontRaw,,,4,4.5,MediterraneanPrenzlauer Berg
Restaurant Van-Long,€€,Mitte,46,4,VietnameseThai
Saigon Com Nieu,€€,Schöneberg,29,4.5,VietnamesePan Asian
Dolcini,€€,Mitte,34,4.5,Italian
Seaside,€€€,Mitte,37,4.5,Seafood
Hirsch & Hase,,,5,5,ScottishBeer GardensTapas & Small PlatesWedding
Jolly,€€,Mitte,83,4,Pan AsianChinese
Tbilisi,€€,Prenzlauer,21,4,GeorgianWine Bars
Dolores,€,Mitte,520,4,Mexican
Chupenga,€,Mitte,23,4,MexicanTakeaway & Fast Food
Persepolis,€€,Schöneberg,39,4,Persian/Iranian
Dolores,€,Schöneberg,184,4,Mexican
La Cantine d’Augusta,€€,Schöneberg,18,4.5,French
Weingalerie und Café NÖ!,€€,Mitte,131,4.5,Wine BarsMediterraneanFlatbread
Le Saint Amour,€€,Reuterkiez,12,5,French
Gayaya,€,Mitte,20,4.5,VegetarianPan Asian
Bip,€,Pankow,5,4.5,Bulgarian
Madang,€€,Bergmannkiez,133,4,Korean
Nußbaumerin,€€,Charlottenburg,62,4.5,Austrian
Paulaner,€€,Tiergarten,26,4,BavarianGastro Pubs
Gasthaus Krombach,€€,Charlottenburg,110,4.5,German
BBI Berlinburger International,€€,Reuterkiez,331,4.5,Burgers
Steel Vintage Bikes Café,€€,Mitte,77,4.5,CafesBikesBreakfast & Brunch
Gaststätte Mediterraneo,€,Tiergarten,16,3.5,Italian
G Wie Goulasch,€€,Bergmannkiez,46,4.5,German
Pasternak,€€,Prenzlauer,161,4,RussianJewish
+84,€,Mitte,17,4.5,Vietnamese
Do De Li,€,Charlottenburg,45,4.5,Chinese
Zollpackhof,€€,Tiergarten,117,3.5,GermanBeer Gardens
Good Time,€€,Mitte,223,4,IndonesianThai
POTS,,,7,4.5,GermanTiergarten
El Borriquito,€€,Charlottenburg,163,4,Spanish
Barcelona Restaurant,€€,Kreuzberg,29,4,SpanishTapas Bars
My Döner,,,1,5,KebabTurkishTiergarten
ammAmma,€,Schöneberg,61,4.5,Indian
Salt n Bone,€€,Prenzlauer,42,4.5,Gastro PubsCocktail Bars
Asteria,€€,Prenzlauer,119,4.5,Greek
Sucre et Sel,€€,Mitte,43,4.5,BistrosCafes
Marral,€€,Mitte,69,4.5,Middle Eastern
Yarok,€,Mitte,168,4.5,Syrian
Bonfini,€€,Mitte,41,4,Italian
Fontana Di Trevi,€,Mitte,30,4,Italian
Hako Ramen,€€,Friedrichshain,32,4,Ramen
Elefant,€€,Schöneberg,164,4.5,German
Paris-Moskau,€€€,Tiergarten,86,4,International
Bejte Ethiopia,€€,Schöneberg,123,4.5,Ethiopian
Chamandi Restaurant,€,Wedding,4,5,Food Stands
Secret Garden,,,9,4.5,SushiVeganFriedrichshain
Grilled Pocket Sandwich G,€,Tiergarten,8,5,CafesSandwiches
Panama,€€€€,Tiergarten,24,4,German
Marthas,,,4,4.5,BurgersTakeaway & Fast FoodKreuzberg
Joseph-Roth-Diele,€€,Tiergarten,56,4.5,German
Lorenz Adlon Esszimmer,€€€€,Mitte,69,5,Modern European
Skykitchen,€€€€,Lichtenberg,6,5,Modern European
italofritzen,,,18,4,ItalianMitte
Thai Window Asia,€,Mitte,61,4.5,Thai
Momiji,€€,Charlottenburg,17,5,Japanese
Peking Ente,€€,Mitte,193,4,Dim Sum
Mr,€€,Wedding,19,4,Vietnamese
Restaurant Heising,€€€,Wilmersdorf,26,4.5,French
Yumcha Heroes,€€,Mitte,194,4,Dim Sum
Rutz,€€€,Mitte,83,4.5,Wine BarsModern European
La Galleria Italiana,€€,Mitte,54,4.5,Italian
Hugos,€€€€,Tiergarten,37,5,GermanModern European
Mani,€€,Mitte,52,4.5,Mediterranean
Nôm Nôm Street,,,1,5,VietnameseMitte
Ushido,€€€,Prenzlauer,51,4.5,JapaneseBBQ & Barbecue
Maothai Charite,,,1,4,ThaiMitte
Zur Haxe,€€,Prenzlauer,80,4.5,German
Reinhard Bär,,,4,5,GermanTiergarten
PATIO Restaurant am Wasser,€€€,Tiergarten,101,4,InternationalGerman
ULT Ramen,€,Wedding,19,4,Ramen
Shaniu’s House of Noodles,€,Wilmersdorf,63,4.5,ChineseKorean
Zum Schusterjungen,€€,Prenzlauer,126,4,German
Peter Schlemihl,€,Bergmannkiez,15,5,GermanModern European
Cafe Albrecht,€,Mitte,9,4,BakeriesCoffee & Tea ShopsBreakfast & Brunch
Treffpunkt Berlin,€€,Mitte,57,4,Northern German
Minh San,,,4,4.5,VietnameseMitte
La Granja Grill,,,1,5,PeruvianMediterraneanReinickendorf
Hopfingerbräu im Palais,€€,Mitte,31,3.5,GermanBavarian
Entrecôte,€€€,Mitte,130,4,FrenchBrasserie
Shiori,€€€€,Mitte,12,5,Japanese
A Posto,€€,Mitte,77,4,ItalianPizza
Republik Berlin,,,8,4.5,GermanBeer GardensMitte
Schwarzwaldstuben,€€,Mitte,174,4,Breakfast & BrunchSwabianBaden
Mabuhay,€,Kreuzberg,110,4.5,IndonesianPan Asian
Curry 61,€,Mitte,127,4,Food StandsCurry Sausage
Agora,,,1,5,MediterraneanMitte
Gasthaus Alt Wien,€€,Prenzlauer,103,4.5,Austrian
Taverne Athene,€€,Kreuzberg,58,4.5,Greek
The Sushi Club,€€€,Mitte,30,4,Sushi
Standard,€€,Prenzlauer,64,4,Pizza
Supersonico,,,4,4.5,ItalianWedding
Osteria bei Pino,€€,Wedding,62,4.5,Italian
Restaurant Café Madrid,,,4,4.5,InternationalSeafoodGermanMitte
Augustiner am Gendarmenmarkt,€€,Mitte,277,3.5,German
tulus lotrek,€€€,Kreuzberg,15,4.5,German
Savanna,€€,Prenzlauer,72,4,AfricanEthiopian
Nürnberger Wirtshaus,€€,Prenzlauer,29,4.5,Franconian
Max und Moritz,€€,Kreuzberg,151,4,German
Kamala,€€,Mitte,62,4,Thai
Sarod’s Thai Restaurant,€€,Bergmannkiez,120,4.5,Thai
Lina Bistro & Café,€€,Mitte,7,4.5,Cafes
Restaurant Galerie,,,2,5,Breakfast & BrunchMitte
Restaurant Sphere,€€€,Mitte,97,4,GermanInternationalBreakfast & Brunch
Midtown Grill,€€€,Tiergarten,151,4,SteakhousesBBQ & Barbecue
Spätzle Club,€,Mitte,50,4.5,GermanSwabian
Chipps,€€,Mitte,208,4,InternationalBreakfast & Brunch
The Poutine Kitchen,,,4,5,Takeaway & Fast FoodTiergarten
Esszimmer,€€€,Mitte,33,4,German
Mr,€,Schöneberg,19,5,GreekTakeaway & Fast Food
Bobbe,,,3,5,KosherIsraeliWilmersdorf
Layla,,,9,4.5,Middle EasternKreuzberg
Trattoria La Bruschetta,€€,Friedrichshain,18,4.5,Italian
Mogg,€€,Mitte,110,4,American (Traditional)Sandwiches
Guten Dag,€,Prenzlauer,24,4.5,KoreanChicken Shop
Restaurant Die Schule,€€,Prenzlauer,44,4.5,German
Café Sisal,€,Mitte,35,4,GermanMediterranean
Salamat,€€,Mitte,7,4.5,ArabicSyrian
Yokozuna,,,4,4.5,SushiPrenzlauer Berg
L,€€€,Tiergarten,3,5,InternationalAmerican (Traditional)
Lon Men’s Noodle House,€,Charlottenburg,230,4,ChineseTakeaway & Fast FoodTaiwanese
WEINROT Berlin,€€€,Charlottenburg,11,4.5,GermanMediterranean
Transit,€€,Mitte,276,4,IndonesianThai
heimlichTreu,€€€,Mitte,8,4.5,Modern European
El Pepe,€,Wedding,16,4,SpanishTapas Bars
Sapori di Casa,€€,Tiergarten,4,5,ItalianPizza
Gokan,,,2,5,KoreanSchöneberg
BLOCK HOUSE,€€€,Mitte,88,4,Steakhouses
Klement’s,€€,Prenzlauer,13,4.5,GermanMediterranean
Laden,,,3,4,Modern EuropeanMitte
Orania,€€,Kreuzberg,5,4.5,Modern European
Nolas am Weinberg,€€,Mitte,165,4,Modern European
Handoyo’s,€€,Wilmersdorf,15,5,Indonesian
Angkor Wat,€€,Tiergarten,45,4,CambodianPan Asian
Safari Imbiss,€,Wedding,10,4.5,AfricanFood Stands
Brezel Bar Berlin,€€,Bergmannkiez,70,4,GermanBreakfast & Brunch
El Colmado,,,3,4.5,SpanishTapas BarsWine BarsMitte
Schnitzelei,€€,Charlottenburg,277,4,Schnitzel
Picoteo,€€,Kreuzberg,27,4.5,SpanishPortuguese
K,,,7,4,KebabMiddle EasternMitte
Facil,€€€€,Tiergarten,71,4.5,French
the NOname,,,1,5,Modern EuropeanMitte
Tuk-Tuk,€€,Schöneberg,57,4,Indonesian
Ristorante Cinque,€€€,Mitte,17,4,Italian
CHIBEE,€,Wedding,11,4.5,Korean
BRLO Brwhouse,€€,Kreuzberg,66,3.5,Beer GardensBreweries
Das Bonito,€€,Wilmersdorf,58,4,Tapas Bars
Kakadu,€,Wedding,6,4,Breakfast & BrunchCafes
Der Hahn ist tot,€€,Mitte,48,4,FrenchGerman
Le Bon,€€,Kreuzberg,32,4,InternationalGermanCocktail Bars
Restaurant M,€€€,Tiergarten,8,4.5,German
Maximilians,€€,Mitte,149,3.5,GermanBavarian
Udagawa,€€,Charlottenburg,54,4,Japanese
Hackethals,€,Mitte,39,4,German
Lecker Song,€,Prenzlauer,78,4.5,Dim Sum
Taste,€,Tiergarten,9,4.5,Singaporean
Hofbräu Berlin,€€,Mitte,293,3,BavarianBeer Gardens
Humboldt’s,,,5,4,RestaurantsMitte
Sissi,€€,Schöneberg,92,4,Austrian
Anand,€€,Mitte,45,4,Indian
The MyMoon,,,4,4.5,Breakfast & BrunchSteakhousesTakeaway & Fast FoodReinickendorf
Java House,€,Wedding,13,4.5,Pan Asian
Curry Baude,€,Wedding,106,4.5,Curry SausageTakeaway & Fast Food
Maultaschen Manufaktur,,,4,5,SwabianKreuzberg
Restaurant Foreign Affairs,€€€,Mitte,11,4,GermanAustrianInternational
